date,department,task,task_count
2024-08-06,Front Desk,Check-ins,2
2024-08-06,Front Desk,Check-outs,6
2024-08-06,Front Desk,Phone Calls,18
2024-08-06,Front Desk,Guest Inquiries,29
2024-08-06,Front Desk,Complaints,21
2024-08-06,Housekeeping,Room Cleaning,15
2024-08-06,Housekeeping,Linen Change,19
2024-08-06,Housekeeping,Supply Restock,7
2024-08-06,Housekeeping,Maintenance Report,10
2024-08-06,Food & Beverage,Room Service Orders,14
2024-08-06,Food & Beverage,Buffet Service,19
2024-08-06,Food & Beverage,Table Service,12
2024-08-06,Food & Beverage,Inventory Check,20
2024-08-06,Maintenance,Fix Requests,3
2024-08-06,Maintenance,Safety Checks,5
2024-08-06,Maintenance,Equipment Maintenance,10
2024-08-06,Management,Staff Meetings,14
2024-08-06,Management,Report Preparation,15
2024-08-06,Management,Customer Feedback Review,4
2024-08-07,Front Desk,Check-ins,14
2024-08-07,Front Desk,Check-outs,10
2024-08-07,Front Desk,Phone Calls,21
2024-08-07,Front Desk,Guest Inquiries,19
2024-08-07,Front Desk,Complaints,14
2024-08-07,Housekeeping,Room Cleaning,17
2024-08-07,Housekeeping,Linen Change,11
2024-08-07,Housekeeping,Supply Restock,7
2024-08-07,Housekeeping,Maintenance Report,13
2024-08-07,Food & Beverage,Room Service Orders,12
2024-08-07,Food & Beverage,Buffet Service,16
2024-08-07,Food & Beverage,Table Service,10
2024-08-07,Food & Beverage,Inventory Check,8
2024-08-07,Maintenance,Fix Requests,19
2024-08-07,Maintenance,Safety Checks,11
2024-08-07,Maintenance,Equipment Maintenance,5
2024-08-07,Management,Staff Meetings,14
2024-08-07,Management,Report Preparation,14
2024-08-07,Management,Customer Feedback Review,6
2024-08-08,Front Desk,Check-ins,6
2024-08-08,Front Desk,Check-outs,17
2024-08-08,Front Desk,Phone Calls,3
2024-08-08,Front Desk,Guest Inquiries,6
2024-08-08,Front Desk,Complaints,11
2024-08-08,Housekeeping,Room Cleaning,3
2024-08-08,Housekeeping,Linen Change,3
2024-08-08,Housekeeping,Supply Restock,7
2024-08-08,Housekeeping,Maintenance Report,7
2024-08-08,Food & Beverage,Room Service Orders,13
2024-08-08,Food & Beverage,Buffet Service,2
2024-08-08,Food & Beverage,Table Service,14
2024-08-08,Food & Beverage,Inventory Check,7
2024-08-08,Maintenance,Fix Requests,20
2024-08-08,Maintenance,Safety Checks,20
2024-08-08,Maintenance,Equipment Maintenance,2
2024-08-08,Management,Staff Meetings,21
2024-08-08,Management,Report Preparation,10
2024-08-08,Management,Customer Feedback Review,12
2024-08-09,Front Desk,Check-ins,27
2024-08-09,Front Desk,Check-outs,11
2024-08-09,Front Desk,Phone Calls,6
2024-08-09,Front Desk,Guest Inquiries,20
2024-08-09,Front Desk,Complaints,17
2024-08-09,Housekeeping,Room Cleaning,19
2024-08-09,Housekeeping,Linen Change,9
2024-08-09,Housekeeping,Supply Restock,17
2024-08-09,Housekeeping,Maintenance Report,18
2024-08-09,Food & Beverage,Room Service Orders,11
2024-08-09,Food & Beverage,Buffet Service,9
2024-08-09,Food & Beverage,Table Service,10
2024-08-09,Food & Beverage,Inventory Check,12
2024-08-09,Maintenance,Fix Requests,18
2024-08-09,Maintenance,Safety Checks,14
2024-08-09,Maintenance,Equipment Maintenance,14
2024-08-09,Management,Staff Meetings,21
2024-08-09,Management,Report Preparation,19
2024-08-09,Management,Customer Feedback Review,20
2024-08-10,Front Desk,Check-ins,15
2024-08-10,Front Desk,Check-outs,14
2024-08-10,Front Desk,Phone Calls,18
2024-08-10,Front Desk,Guest Inquiries,15
2024-08-10,Front Desk,Complaints,6
2024-08-10,Housekeeping,Room Cleaning,8
2024-08-10,Housekeeping,Linen Change,13
2024-08-10,Housekeeping,Supply Restock,3
2024-08-10,Housekeeping,Maintenance Report,6
2024-08-10,Food & Beverage,Room Service Orders,11
2024-08-10,Food & Beverage,Buffet Service,11
2024-08-10,Food & Beverage,Table Service,8
2024-08-10,Food & Beverage,Inventory Check,13
2024-08-10,Maintenance,Fix Requests,8
2024-08-10,Maintenance,Safety Checks,23
2024-08-10,Maintenance,Equipment Maintenance,4
2024-08-10,Management,Staff Meetings,15
2024-08-10,Management,Report Preparation,21
2024-08-10,Management,Customer Feedback Review,18
2024-08-11,Front Desk,Check-ins,2
2024-08-11,Front Desk,Check-outs,16
2024-08-11,Front Desk,Phone Calls,5
2024-08-11,Front Desk,Guest Inquiries,2
2024-08-11,Front Desk,Complaints,17
2024-08-11,Housekeeping,Room Cleaning,5
2024-08-11,Housekeeping,Linen Change,4
2024-08-11,Housekeeping,Supply Restock,7
2024-08-11,Housekeeping,Maintenance Report,21
2024-08-11,Food & Beverage,Room Service Orders,14
2024-08-11,Food & Beverage,Buffet Service,9
2024-08-11,Food & Beverage,Table Service,10
2024-08-11,Food & Beverage,Inventory Check,2
2024-08-11,Maintenance,Fix Requests,13
2024-08-11,Maintenance,Safety Checks,8
2024-08-11,Maintenance,Equipment Maintenance,0
2024-08-11,Management,Staff Meetings,5
2024-08-11,Management,Report Preparation,9
2024-08-11,Management,Customer Feedback Review,23
2024-08-12,Front Desk,Check-ins,12
2024-08-12,Front Desk,Check-outs,11
2024-08-12,Front Desk,Phone Calls,6
2024-08-12,Front Desk,Guest Inquiries,9
2024-08-12,Front Desk,Complaints,13
2024-08-12,Housekeeping,Room Cleaning,14
2024-08-12,Housekeeping,Linen Change,22
2024-08-12,Housekeeping,Supply Restock,13
2024-08-12,Housekeeping,Maintenance Report,9
2024-08-12,Food & Beverage,Room Service Orders,16
2024-08-12,Food & Beverage,Buffet Service,3
2024-08-12,Food & Beverage,Table Service,17
2024-08-12,Food & Beverage,Inventory Check,19
2024-08-12,Maintenance,Fix Requests,7
2024-08-12,Maintenance,Safety Checks,18
2024-08-12,Maintenance,Equipment Maintenance,10
2024-08-12,Management,Staff Meetings,20
2024-08-12,Management,Report Preparation,7
2024-08-12,Management,Customer Feedback Review,19
2024-08-13,Front Desk,Check-ins,16
2024-08-13,Front Desk,Check-outs,0
2024-08-13,Front Desk,Phone Calls,12
2024-08-13,Front Desk,Guest Inquiries,17
2024-08-13,Front Desk,Complaints,3
2024-08-13,Housekeeping,Room Cleaning,13
2024-08-13,Housekeeping,Linen Change,3
2024-08-13,Housekeeping,Supply Restock,5
2024-08-13,Housekeeping,Maintenance Report,19
2024-08-13,Food & Beverage,Room Service Orders,9
2024-08-13,Food & Beverage,Buffet Service,4
2024-08-13,Food & Beverage,Table Service,19
2024-08-13,Food & Beverage,Inventory Check,6
2024-08-13,Maintenance,Fix Requests,3
2024-08-13,Maintenance,Safety Checks,7
2024-08-13,Maintenance,Equipment Maintenance,12
2024-08-13,Management,Staff Meetings,6
