employee_id,preferred_days_off,unavailable_days,preferred_colleagues
E001,"Saturday, Sunday",Thursday,"E010, E013, E019"
E002,"Tuesday, Monday",Friday,"E048, E035, E004"
E003,"Saturday, Wednesday",Monday,"E004, E038, E031"
E004,"Friday, Sunday",Tuesday,"E004, E033, E006"
E005,"Sunday, Tuesday",Monday,"E039, E005, E044"
E006,"Sunday, Tuesday",Thursday,"E008, E057, E037"
E007,"Tuesday, Friday",Friday,"E003, E040, E006"
E008,"Thursday, Saturday",Friday,"E037, E034, E021"
E009,"Wednesday, Tuesday",Saturday,"E046, E021, E016"
E010,"Wednesday, Thursday",Tuesday,"E043, E042, E020"
E011,"Thursday, Wednesday",Sunday,"E060, E005, E001"
E012,"Thursday, Friday",Friday,"E007, E005, E035"
E013,"Tuesday, Friday",Wednesday,"E009, E060, E023"
E014,"Monday, Tuesday",Wednesday,"E019, E011, E029"
E015,"Sunday, Friday",Saturday,"E020, E040, E052"
E016,"Saturday, Friday",Monday,"E043, E053, E036"
E017,"Wednesday, Saturday",Monday,"E057, E009, E017"
E018,"Monday, Sunday",Saturday,"E036, E010, E018"
E019,"Wednesday, Friday",Tuesday,"E046, E022, E014"
E020,"Saturday, Sunday",Sunday,"E017, E033, E032"
E021,"Wednesday, Monday",Monday,"E041, E028, E054"
E022,"Wednesday, Monday",Monday,"E022, E050, E009"
E023,"Saturday, Wednesday",Tuesday,"E048, E029, E036"
E024,"Saturday, Thursday",Friday,"E001, E008, E005"
E025,"Saturday, Tuesday",Friday,"E003, E054, E024"
E026,"Friday, Sunday",Tuesday,"E028, E009, E003"
E027,"Wednesday, Sunday",Sunday,"E056, E003, E058"
E028,"Wednesday, Tuesday",Saturday,"E016, E043, E007"
E029,"Wednesday, Friday",Sunday,"E027, E040, E048"
E030,"Tuesday, Sunday",Sunday,"E011, E052, E012"
E031,"Thursday, Monday",Tuesday,"E048, E060, E022"
E032,"Sunday, Thursday",Sunday,"E043, E056, E048"
E033,"Sunday, Tuesday",Wednesday,"E011, E051, E045"
E034,"Monday, Thursday",Sunday,"E003, E055, E031"
E035,"Tuesday, Sunday",Sunday,"E059, E030, E023"
E036,"Wednesday, Tuesday",Tuesday,"E002, E043, E013"
E037,"Thursday, Wednesday",Wednesday,"E056, E005, E050"
E038,"Wednesday, Sunday",Saturday,"E033, E026, E044"
E039,"Sunday, Friday",Wednesday,"E002, E008, E057"
E040,"Wednesday, Tuesday",Friday,"E017, E003, E007"
E041,"Friday, Thursday",Wednesday,"E047, E051, E021"
E042,"Thursday, Friday",Friday,"E008, E025, E058"
E043,"Friday, Tuesday",Wednesday,"E003, E046, E028"
E044,"Monday, Friday",Sunday,"E035, E044, E047"
E045,"Saturday, Sunday",Saturday,"E013, E024, E028"
E046,"Monday, Saturday",Wednesday,"E040, E021, E043"
E047,"Sunday, Monday",Saturday,"E058, E020, E033"
E048,"Wednesday, Saturday",Thursday,"E021, E026, E045"
E049,"Wednesday, Friday",Tuesday,"E013, E027, E043"
E050,"Thursday, Saturday",Saturday,"E058, E012, E040"
E051,"Friday, Wednesday",Thursday,"E036, E054, E001"
E052,"Wednesday, Sunday",Tuesday,"E028, E051, E038"
E053,"Friday, Saturday",Wednesday,"E030, E029, E044"
E054,"Tuesday, Friday",Thursday,"E051, E058, E048"
E055,"Tuesday, Saturday",Monday,"E019, E033, E043"
E056,"Saturday, Friday",Wednesday,"E006, E053, E049"
E057,"Tuesday, Saturday",Wednesday,"E015, E052, E013"
E058,"Tuesday, Monday",Monday,"E016, E031, E040"
E059,"Sunday, Monday",Thursday,"E027, E057, E041"
E060,"Friday, Tuesday",Saturday,"E045, E025, E032"
