date,day_of_week,occupancy_rate,guests,event_day
2024-08-05,Monday,0.86,84,False
2024-08-06,Tuesday,0.92,77,False
2024-08-07,Wednesday,0.89,82,False
2024-08-08,Thursday,0.94,92,False
2024-08-09,Friday,0.94,101,False
2024-08-10,Saturday,0.96,105,False
2024-08-11,Sunday,0.94,102,False
2024-08-12,Monday,0.92,96,False
2024-08-13,Tuesday,0.87,95,False
2024-08-14,Wednesday,0.87,78,False
2024-08-15,Thursday,0.93,79,False
2024-08-16,Friday,0.95,97,False
2024-08-17,Saturday,0.96,102,False
2024-08-18,Sunday,1.0,97,False
2024-08-19,Monday,1.0,82,True
2024-08-20,Tuesday,1.0,105,True
2024-08-21,Wednesday,1.0,106,True
2024-08-22,Thursday,0.98,96,False
2024-08-23,Friday,0.95,99,False
2024-08-24,Saturday,0.94,90,False
2024-08-25,Sunday,0.99,89,False
2024-08-26,Monday,0.97,96,False
2024-08-27,Tuesday,0.91,79,False
2024-08-28,Wednesday,0.97,97,False
2024-08-29,Thursday,0.93,78,False
2024-08-30,Friday,0.86,94,False
2024-08-31,Saturday,1.0,107,False
2024-09-01,Sunday,0.68,64,False
2024-09-02,Monday,0.56,57,False
2024-09-03,Tuesday,0.57,53,False
2024-09-04,Wednesday,0.73,73,False
2024-09-05,Thursday,0.6,56,False
2024-09-06,Friday,0.72,68,False
2024-09-07,Saturday,0.82,73,False
2024-09-08,Sunday,0.82,78,False
2024-09-09,Monday,0.71,75,False
2024-09-10,Tuesday,0.79,76,False
2024-09-11,Wednesday,0.62,53,False
2024-09-12,Thursday,0.72,75,False
2024-09-13,Friday,0.62,66,False
2024-09-14,Saturday,0.71,75,False
2024-09-15,Sunday,0.8,76,False
2024-09-16,Monday,0.68,74,False
2024-09-17,Tuesday,0.72,60,False
2024-09-18,Wednesday,0.66,61,False
2024-09-19,Thursday,0.77,77,False
2024-09-20,Friday,0.69,60,False
2024-09-21,Saturday,0.8,70,False
2024-09-22,Sunday,0.65,57,False
2024-09-23,Monday,0.6,53,False
2024-09-24,Tuesday,0.57,55,False
2024-09-25,Wednesday,0.77,70,False
2024-09-26,Thursday,0.56,46,False
2024-09-27,Friday,0.76,65,False
2024-09-28,Saturday,0.76,71,False
2024-09-29,Sunday,0.73,75,False
2024-09-30,Monday,0.56,54,False
2024-10-01,Tuesday,0.71,60,False
2024-10-02,Wednesday,0.63,62,False
2024-10-03,Thursday,0.56,51,False
2024-10-04,Friday,0.59,59,False
2024-10-05,Saturday,0.66,71,False
2024-10-06,Sunday,0.73,76,False
2024-10-07,Monday,0.78,80,False
2024-10-08,Tuesday,0.72,62,False
2024-10-09,Wednesday,0.66,68,False
2024-10-10,Thursday,0.72,78,False
2024-10-11,Friday,0.58,52,False
2024-10-12,Saturday,0.81,84,False
2024-10-13,Sunday,0.79,74,False
2024-10-14,Monday,0.55,48,False
2024-10-15,Tuesday,0.61,62,False
2024-10-16,Wednesday,0.63,57,False
2024-10-17,Thursday,0.77,67,False
2024-10-18,Friday,0.64,66,False
2024-10-19,Saturday,0.77,79,False
2024-10-20,Sunday,0.66,58,False
2024-10-21,Monday,0.56,50,False
2024-10-22,Tuesday,0.76,66,False
2024-10-23,Wednesday,0.58,58,False
2024-10-24,Thursday,0.78,80,False
2024-10-25,Friday,0.62,62,False
2024-10-26,Saturday,0.68,66,False
2024-10-27,Sunday,0.83,81,False
2024-10-28,Monday,0.58,49,False
2024-10-29,Tuesday,0.79,84,False
2024-10-30,Wednesday,0.75,68,False
2024-10-31,Thursday,0.62,59,False
2024-11-01,Friday,0.57,49,False
2024-11-02,Saturday,0.54,45,False
2024-11-03,Sunday,0.47,46,False
2024-11-04,Monday,0.48,40,False
2024-11-05,Tuesday,0.58,56,False
2024-11-06,Wednesday,0.59,57,False
2024-11-07,Thursday,0.56,55,False
2024-11-08,Friday,0.49,45,False
2024-11-09,Saturday,0.55,47,False
2024-11-10,Sunday,0.5,43,False
2024-11-11,Monday,0.52,45,False
2024-11-12,Tuesday,0.55,53,False
2024-11-13,Wednesday,0.57,62,False
2024-11-14,Thursday,0.41,39,False
2024-11-15,Friday,0.51,53,False
2024-11-16,Saturday,0.63,54,False
2024-11-17,Sunday,0.6,64,False
2024-11-18,Monday,0.46,40,False
2024-11-19,Tuesday,0.44,37,False
2024-11-20,Wednesday,0.58,63,False
2024-11-21,Thursday,0.44,40,False
