date,department,required_staff,day_of_week
2024-08-07,Front Desk,5,Wednesday
2024-08-07,Housekeeping,3,Wednesday
2024-08-07,Kitchen,5,Wednesday
2024-08-07,Security,5,Wednesday
2024-08-07,Maintenance,3,Wednesday
2024-08-08,Front Desk,3,Thursday
2024-08-08,Housekeeping,5,Thursday
2024-08-08,Kitchen,4,Thursday
2024-08-08,Security,5,Thursday
2024-08-08,Maintenance,5,Thursday
2024-08-09,Front Desk,5,Friday
2024-08-09,Housekeeping,5,Friday
2024-08-09,Kitchen,3,Friday
2024-08-09,Security,5,Friday
2024-08-09,Maintenance,4,Friday
2024-08-10,Front Desk,5,Saturday
2024-08-10,Housekeeping,6,Saturday
2024-08-10,Kitchen,6,Saturday
2024-08-10,Security,6,Saturday
2024-08-10,Maintenance,6,Saturday
2024-08-11,Front Desk,5,Sunday
2024-08-11,Housekeeping,5,Sunday
2024-08-11,Kitchen,6,Sunday
2024-08-11,Security,6,Sunday
2024-08-11,Maintenance,5,Sunday
2024-08-12,Front Desk,3,Monday
2024-08-12,Housekeeping,3,Monday
2024-08-12,Kitchen,5,Monday
2024-08-12,Security,5,Monday
2024-08-12,Maintenance,5,Monday
2024-08-13,Front Desk,4,Tuesday
2024-08-13,Housekeeping,5,Tuesday
2024-08-13,Kitchen,4,Tuesday
2024-08-13,Security,4,Tuesday
2024-08-13,Maintenance,5,Tuesday
2024-08-14,Front Desk,4,Wednesday
2024-08-14,Housekeeping,5,Wednesday
2024-08-14,Kitchen,5,Wednesday
2024-08-14,Security,3,Wednesday
2024-08-14,Maintenance,5,Wednesday
2024-08-15,Front Desk,3,Thursday
2024-08-15,Housekeeping,5,Thursday
2024-08-15,Kitchen,5,Thursday
2024-08-15,Security,3,Thursday
2024-08-15,Maintenance,3,Thursday
2024-08-16,Front Desk,5,Friday
2024-08-16,Housekeeping,4,Friday
2024-08-16,Kitchen,3,Friday
2024-08-16,Security,4,Friday
2024-08-16,Maintenance,4,Friday
2024-08-17,Front Desk,6,Saturday
2024-08-17,Housekeeping,5,Saturday
2024-08-17,Kitchen,6,Saturday
2024-08-17,Security,5,Saturday
2024-08-17,Maintenance,6,Saturday
2024-08-18,Front Desk,7,Sunday
2024-08-18,Housekeeping,7,Sunday
2024-08-18,Kitchen,5,Sunday
2024-08-18,Security,7,Sunday
2024-08-18,Maintenance,7,Sunday
2024-08-19,Front Desk,4,Monday
2024-08-19,Housekeeping,3,Monday
2024-08-19,Kitchen,4,Monday
2024-08-19,Security,4,Monday
2024-08-19,Maintenance,4,Monday
2024-08-20,Front Desk,4,Tuesday
2024-08-20,Housekeeping,4,Tuesday
2024-08-20,Kitchen,4,Tuesday
2024-08-20,Security,4,Tuesday
2024-08-20,Maintenance,3,Tuesday
2024-08-21,Front Desk,5,Wednesday
2024-08-21,Housekeeping,4,Wednesday
2024-08-21,Kitchen,4,Wednesday
2024-08-21,Security,4,Wednesday
2024-08-21,Maintenance,4,Wednesday
2024-08-22,Front Desk,4,Thursday
2024-08-22,Housekeeping,4,Thursday
2024-08-22,Kitchen,5,Thursday
2024-08-22,Security,5,Thursday
2024-08-22,Maintenance,4,Thursday
2024-08-23,Front Desk,5,Friday
2024-08-23,Housekeeping,3,Friday
2024-08-23,Kitchen,4,Friday
2024-08-23,Security,3,Friday
2024-08-23,Maintenance,3,Friday
2024-08-24,Front Desk,6,Saturday
2024-08-24,Housekeeping,7,Saturday
2024-08-24,Kitchen,5,Saturday
2024-08-24,Security,6,Saturday
2024-08-24,Maintenance,5,Saturday
2024-08-25,Front Desk,5,Sunday
2024-08-25,Housekeeping,5,Sunday
2024-08-25,Kitchen,5,Sunday
2024-08-25,Security,7,Sunday
2024-08-25,Maintenance,5,Sunday
2024-08-26,Front Desk,3,Monday
2024-08-26,Housekeeping,3,Monday
2024-08-26,Kitchen,5,Monday
2024-08-26,Security,3,Monday
2024-08-26,Maintenance,3,Monday
2024-08-27,Front Desk,5,Tuesday
2024-08-27,Housekeeping,5,Tuesday
2024-08-27,Kitchen,5,Tuesday
2024-08-27,Security,3,Tuesday
2024-08-27,Maintenance,5,Tuesday
2024-08-28,Front Desk,5,Wednesday
2024-08-28,Housekeeping,3,Wednesday
2024-08-28,Kitchen,5,Wednesday
2024-08-28,Security,3,Wednesday
2024-08-28,Maintenance,4,Wednesday
2024-08-29,Front Desk,5,Thursday
2024-08-29,Housekeeping,4,Thursday
2024-08-29,Kitchen,3,Thursday
2024-08-29,Security,5,Thursday
2024-08-29,Maintenance,3,Thursday
2024-08-30,Front Desk,4,Friday
2024-08-30,Housekeeping,3,Friday
2024-08-30,Kitchen,5,Friday
2024-08-30,Security,5,Friday
2024-08-30,Maintenance,4,Friday
2024-08-31,Front Desk,5,Saturday
2024-08-31,Housekeeping,7,Saturday
2024-08-31,Kitchen,6,Saturday
2024-08-31,Security,7,Saturday
2024-08-31,Maintenance,7,Saturday
2024-09-01,Front Desk,5,Sunday
2024-09-01,Housekeeping,7,Sunday
2024-09-01,Kitchen,5,Sunday
2024-09-01,Security,7,Sunday
2024-09-01,Maintenance,6,Sunday
2024-09-02,Front Desk,5,Monday
2024-09-02,Housekeeping,3,Monday
2024-09-02,Kitchen,3,Monday
2024-09-02,Security,4,Monday
2024-09-02,Maintenance,5,Monday
2024-09-03,Front Desk,5,Tuesday
2024-09-03,Housekeeping,4,Tuesday
2024-09-03,Kitchen,5,Tuesday
2024-09-03,Security,5,Tuesday
2024-09-03,Maintenance,3,Tuesday
2024-09-04,Front Desk,5,Wednesday
2024-09-04,Housekeeping,5,Wednesday
2024-09-04,Kitchen,4,Wednesday
2024-09-04,Security,4,Wednesday
2024-09-04,Maintenance,3,Wednesday
2024-09-05,Front Desk,5,Thursday
2024-09-05,Housekeeping,5,Thursday
2024-09-05,Kitchen,5,Thursday
2024-09-05,Security,3,Thursday
2024-09-05,Maintenance,3,Thursday
2024-09-06,Front Desk,4,Friday
2024-09-06,Housekeeping,3,Friday
2024-09-06,Kitchen,5,Friday
2024-09-06,Security,5,Friday
2024-09-06,Maintenance,3,Friday
2024-09-07,Front Desk,7,Saturday
2024-09-07,Housekeeping,7,Saturday
2024-09-07,Kitchen,5,Saturday
2024-09-07,Security,5,Saturday
2024-09-07,Maintenance,7,Saturday
2024-09-08,Front Desk,7,Sunday
2024-09-08,Housekeeping,7,Sunday
2024-09-08,Kitchen,6,Sunday
2024-09-08,Security,6,Sunday
2024-09-08,Maintenance,6,Sunday
2024-09-09,Front Desk,3,Monday
2024-09-09,Housekeeping,4,Monday
2024-09-09,Kitchen,3,Monday
2024-09-09,Security,3,Monday
2024-09-09,Maintenance,4,Monday
2024-09-10,Front Desk,4,Tuesday
2024-09-10,Housekeeping,4,Tuesday
2024-09-10,Kitchen,5,Tuesday
2024-09-10,Security,4,Tuesday
2024-09-10,Maintenance,5,Tuesday
2024-09-11,Front Desk,3,Wednesday
2024-09-11,Housekeeping,5,Wednesday
2024-09-11,Kitchen,4,Wednesday
2024-09-11,Security,3,Wednesday
2024-09-11,Maintenance,3,Wednesday
2024-09-12,Front Desk,3,Thursday
2024-09-12,Housekeeping,5,Thursday
2024-09-12,Kitchen,4,Thursday
2024-09-12,Security,3,Thursday
2024-09-12,Maintenance,3,Thursday
2024-09-13,Front Desk,3,Friday
2024-09-13,Housekeeping,5,Friday
2024-09-13,Kitchen,5,Friday
2024-09-13,Security,4,Friday
2024-09-13,Maintenance,5,Friday
2024-09-14,Front Desk,5,Saturday
2024-09-14,Housekeeping,6,Saturday
2024-09-14,Kitchen,5,Saturday
2024-09-14,Security,5,Saturday
2024-09-14,Maintenance,7,Saturday
2024-09-15,Front Desk,6,Sunday
2024-09-15,Housekeeping,7,Sunday
2024-09-15,Kitchen,7,Sunday
2024-09-15,Security,6,Sunday
2024-09-15,Maintenance,5,Sunday
2024-09-16,Front Desk,3,Monday
2024-09-16,Housekeeping,4,Monday
2024-09-16,Kitchen,3,Monday
2024-09-16,Security,4,Monday
2024-09-16,Maintenance,4,Monday
2024-09-17,Front Desk,5,Tuesday
2024-09-17,Housekeeping,4,Tuesday
2024-09-17,Kitchen,5,Tuesday
2024-09-17,Security,3,Tuesday
2024-09-17,Maintenance,3,Tuesday
2024-09-18,Front Desk,3,Wednesday
2024-09-18,Housekeeping,3,Wednesday
2024-09-18,Kitchen,5,Wednesday
2024-09-18,Security,3,Wednesday
2024-09-18,Maintenance,4,Wednesday
2024-09-19,Front Desk,4,Thursday
2024-09-19,Housekeeping,4,Thursday
2024-09-19,Kitchen,5,Thursday
2024-09-19,Security,3,Thursday
2024-09-19,Maintenance,3,Thursday
2024-09-20,Front Desk,3,Friday
2024-09-20,Housekeeping,5,Friday
2024-09-20,Kitchen,4,Friday
2024-09-20,Security,4,Friday
2024-09-20,Maintenance,3,Friday
2024-09-21,Front Desk,6,Saturday
2024-09-21,Housekeeping,6,Saturday
2024-09-21,Kitchen,7,Saturday
2024-09-21,Security,7,Saturday
2024-09-21,Maintenance,7,Saturday
2024-09-22,Front Desk,7,Sunday
2024-09-22,Housekeeping,5,Sunday
2024-09-22,Kitchen,7,Sunday
2024-09-22,Security,6,Sunday
2024-09-22,Maintenance,5,Sunday
2024-09-23,Front Desk,4,Monday
2024-09-23,Housekeeping,4,Monday
2024-09-23,Kitchen,4,Monday
2024-09-23,Security,5,Monday
2024-09-23,Maintenance,5,Monday
2024-09-24,Front Desk,3,Tuesday
2024-09-24,Housekeeping,3,Tuesday
2024-09-24,Kitchen,5,Tuesday
2024-09-24,Security,4,Tuesday
2024-09-24,Maintenance,3,Tuesday
2024-09-25,Front Desk,5,Wednesday
2024-09-25,Housekeeping,5,Wednesday
2024-09-25,Kitchen,5,Wednesday
2024-09-25,Security,4,Wednesday
2024-09-25,Maintenance,5,Wednesday
2024-09-26,Front Desk,5,Thursday
2024-09-26,Housekeeping,5,Thursday
2024-09-26,Kitchen,5,Thursday
2024-09-26,Security,3,Thursday
2024-09-26,Maintenance,3,Thursday
2024-09-27,Front Desk,5,Friday
2024-09-27,Housekeeping,4,Friday
2024-09-27,Kitchen,3,Friday
2024-09-27,Security,5,Friday
2024-09-27,Maintenance,3,Friday
2024-09-28,Front Desk,5,Saturday
2024-09-28,Housekeeping,6,Saturday
2024-09-28,Kitchen,7,Saturday
2024-09-28,Security,7,Saturday
2024-09-28,Maintenance,6,Saturday
2024-09-29,Front Desk,6,Sunday
2024-09-29,Housekeeping,7,Sunday
2024-09-29,Kitchen,7,Sunday
2024-09-29,Security,6,Sunday
2024-09-29,Maintenance,5,Sunday
2024-09-30,Front Desk,3,Monday
2024-09-30,Housekeeping,4,Monday
2024-09-30,Kitchen,3,Monday
2024-09-30,Security,4,Monday
2024-09-30,Maintenance,3,Monday
2024-10-01,Front Desk,3,Tuesday
2024-10-01,Housekeeping,5,Tuesday
2024-10-01,Kitchen,5,Tuesday
2024-10-01,Security,3,Tuesday
2024-10-01,Maintenance,3,Tuesday
2024-10-02,Front Desk,5,Wednesday
2024-10-02,Housekeeping,5,Wednesday
2024-10-02,Kitchen,5,Wednesday
2024-10-02,Security,4,Wednesday
2024-10-02,Maintenance,3,Wednesday
2024-10-03,Front Desk,5,Thursday
2024-10-03,Housekeeping,3,Thursday
2024-10-03,Kitchen,4,Thursday
2024-10-03,Security,4,Thursday
2024-10-03,Maintenance,5,Thursday
2024-10-04,Front Desk,4,Friday
2024-10-04,Housekeeping,3,Friday
2024-10-04,Kitchen,5,Friday
2024-10-04,Security,3,Friday
2024-10-04,Maintenance,3,Friday
2024-10-05,Front Desk,6,Saturday
2024-10-05,Housekeeping,6,Saturday
2024-10-05,Kitchen,6,Saturday
2024-10-05,Security,6,Saturday
2024-10-05,Maintenance,6,Saturday
2024-10-06,Front Desk,7,Sunday
2024-10-06,Housekeeping,5,Sunday
2024-10-06,Kitchen,5,Sunday
2024-10-06,Security,5,Sunday
2024-10-06,Maintenance,5,Sunday
2024-10-07,Front Desk,4,Monday
2024-10-07,Housekeeping,3,Monday
2024-10-07,Kitchen,5,Monday
2024-10-07,Security,5,Monday
2024-10-07,Maintenance,3,Monday
2024-10-08,Front Desk,3,Tuesday
2024-10-08,Housekeeping,5,Tuesday
2024-10-08,Kitchen,5,Tuesday
2024-10-08,Security,4,Tuesday
2024-10-08,Maintenance,5,Tuesday
2024-10-09,Front Desk,4,Wednesday
2024-10-09,Housekeeping,4,Wednesday
2024-10-09,Kitchen,4,Wednesday
2024-10-09,Security,4,Wednesday
2024-10-09,Maintenance,4,Wednesday
2024-10-10,Front Desk,3,Thursday
2024-10-10,Housekeeping,5,Thursday
2024-10-10,Kitchen,4,Thursday
2024-10-10,Security,5,Thursday
2024-10-10,Maintenance,5,Thursday
2024-10-11,Front Desk,4,Friday
2024-10-11,Housekeeping,3,Friday
2024-10-11,Kitchen,4,Friday
2024-10-11,Security,3,Friday
2024-10-11,Maintenance,5,Friday
2024-10-12,Front Desk,5,Saturday
2024-10-12,Housekeeping,5,Saturday
2024-10-12,Kitchen,5,Saturday
2024-10-12,Security,7,Saturday
2024-10-12,Maintenance,7,Saturday
2024-10-13,Front Desk,5,Sunday
2024-10-13,Housekeeping,5,Sunday
2024-10-13,Kitchen,6,Sunday
2024-10-13,Security,5,Sunday
2024-10-13,Maintenance,6,Sunday
2024-10-14,Front Desk,3,Monday
2024-10-14,Housekeeping,4,Monday
2024-10-14,Kitchen,5,Monday
2024-10-14,Security,3,Monday
2024-10-14,Maintenance,3,Monday
2024-10-15,Front Desk,3,Tuesday
2024-10-15,Housekeeping,3,Tuesday
2024-10-15,Kitchen,4,Tuesday
2024-10-15,Security,3,Tuesday
2024-10-15,Maintenance,5,Tuesday
2024-10-16,Front Desk,5,Wednesday
2024-10-16,Housekeeping,3,Wednesday
2024-10-16,Kitchen,5,Wednesday
2024-10-16,Security,3,Wednesday
2024-10-16,Maintenance,3,Wednesday
2024-10-17,Front Desk,5,Thursday
2024-10-17,Housekeeping,3,Thursday
2024-10-17,Kitchen,5,Thursday
2024-10-17,Security,4,Thursday
2024-10-17,Maintenance,3,Thursday
